               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.024827,            0.011519,            0.010937,             0.98853,                   1,               0.995,             0.49286,            0.023838,           0.0030197,           0.0051498,            0.006535,            0.006535,            0.006535
                  72,            0.024764,            0.011302,           0.0091436,             0.98567,             0.98582,               0.995,             0.52247,            0.016954,           0.0039791,           0.0057375,           0.0064855,           0.0064855,           0.0064855
                  73,            0.023181,            0.011357,            0.010522,             0.99022,                   1,               0.995,             0.57024,            0.020423,           0.0028758,          0.00078478,            0.006436,            0.006436,            0.006436
                  74,            0.025382,            0.011134,                0.01,             0.98623,                   1,               0.995,             0.56889,            0.019747,           0.0029631,          0.00041399,           0.0063865,           0.0063865,           0.0063865
                  75,            0.021323,            0.011119,           0.0083351,             0.98366,                   1,               0.995,             0.64485,            0.019594,            0.003047,          0.00042593,            0.006337,            0.006337,            0.006337
                  76,            0.021579,            0.011377,           0.0088589,              0.9588,                   1,               0.995,             0.63985,            0.019671,           0.0029123,          0.00080981,           0.0062875,           0.0062875,           0.0062875
                  77,            0.022032,            0.010604,           0.0086201,             0.96627,             0.99141,               0.995,              0.5914,             0.01905,            0.002928,           0.0017507,            0.006238,            0.006238,            0.006238
                  78,            0.022566,            0.011155,           0.0089919,             0.97973,             0.96139,               0.995,             0.61166,            0.022165,           0.0030925,             0.01117,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022884,            0.011463,            0.011859,             0.98727,             0.99513,               0.995,             0.64602,            0.014573,           0.0029656,          0.00047278,            0.006139,            0.006139,            0.006139
                  80,            0.023518,            0.012032,            0.011165,             0.98041,                   1,               0.995,             0.61569,            0.015466,           0.0031322,           0.0004446,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022553,            0.011066,            0.010688,             0.98251,                   1,               0.995,             0.68159,            0.016548,            0.002912,          0.00067635,             0.00604,             0.00604,             0.00604
                  82,            0.022455,            0.010957,           0.0070968,             0.98519,                   1,               0.995,             0.65445,            0.021272,            0.002911,          0.00089321,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021101,            0.010851,           0.0075907,             0.93135,             0.96008,             0.96648,             0.50051,            0.021161,           0.0043275,           0.0081093,            0.005941,            0.005941,            0.005941
                  84,             0.02253,            0.011093,           0.0085787,             0.98981,                   1,               0.995,             0.71368,            0.018771,           0.0024257,           0.0013593,           0.0058915,           0.0058915,           0.0058915
                  85,             0.02209,            0.011168,           0.0087441,              0.9928,             0.98829,               0.995,             0.65188,            0.016347,           0.0035516,          0.00061283,            0.005842,            0.005842,            0.005842
                  86,            0.020382,            0.010926,           0.0082343,             0.96573,             0.99381,               0.995,               0.635,            0.018996,           0.0027028,          0.00083528,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022432,            0.011025,           0.0096477,             0.99041,                   1,               0.995,             0.63403,            0.014677,           0.0030602,          0.00061612,            0.005743,            0.005743,            0.005743
                  88,            0.021702,            0.010506,           0.0088049,             0.98858,                   1,               0.995,             0.58457,            0.016363,           0.0026945,          0.00022209,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023208,            0.011006,            0.010193,             0.96531,                   1,               0.995,             0.47019,            0.022021,           0.0031713,          0.00074558,            0.005644,            0.005644,            0.005644
                  90,             0.02257,            0.011022,            0.010092,             0.93112,             0.96667,             0.96558,             0.38599,            0.023061,           0.0049481,          0.00083628,           0.0055945,           0.0055945,           0.0055945
                  91,            0.021492,            0.011218,           0.0080849,             0.98492,                   1,               0.995,             0.63229,            0.016472,           0.0027614,          0.00064774,            0.005545,            0.005545,            0.005545
                  92,             0.02368,            0.010978,            0.011522,              0.9884,                   1,               0.995,             0.72205,            0.015988,           0.0026898,           0.0010099,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020555,            0.010579,            0.008314,             0.98269,                   1,               0.995,             0.63119,            0.017332,           0.0031797,           0.0012288,            0.005446,            0.005446,            0.005446
                  94,            0.019965,            0.010966,           0.0071322,             0.98049,                   1,               0.995,             0.71188,            0.014343,           0.0028909,          0.00093069,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02064,            0.010623,           0.0069217,             0.98882,                   1,               0.995,             0.72919,             0.01538,           0.0029483,           0.0010324,            0.005347,            0.005347,            0.005347
                  96,            0.022753,            0.011116,           0.0083581,             0.99261,                   1,               0.995,             0.65538,            0.014305,           0.0031902,          0.00064373,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02083,            0.010517,           0.0079795,             0.89098,             0.93585,               0.975,             0.42262,            0.021788,           0.0066501,          0.00054116,            0.005248,            0.005248,            0.005248
                  98,            0.021669,            0.010868,           0.0072273,             0.98984,                   1,               0.995,             0.60237,            0.015552,           0.0032839,          0.00037165,           0.0051985,           0.0051985,           0.0051985
